,day,hour,label,points,points_per,center_x,center_y,cluster_count,region_surface,region_vertices
6,0,1,6,45,0.0014117204166143808,40.7390257936508,-74.04140793650794,40.0,0.003487530000000488,"[[ 40.7925 -74.042 ]
 [ 40.788  -74.0119]
 [ 40.713  -74.0362]
 [ 40.7094 -74.0808]
 [ 40.7184 -74.0891]
 [ 40.7924 -74.0421]]"
7,0,1,7,14,0.00043920190739114064,40.60639912222222,-74.11233246666667,40.0,0.004949571190099342,"[[ 40.5731606 -74.094586 ]
 [ 40.5883333 -74.1577778]
 [ 40.6125891 -74.17799  ]
 [ 40.6367701 -74.1587547]
 [ 40.6264774 -74.0776361]
 [ 40.6045639 -74.0652649]
 [ 40.5903825 -74.0668076]]"
8,0,1,8,388,0.012172167147697328,40.61718046764706,-74.00172945294118,40.0,0.0027656671194201212,"[[ 40.5961338 -73.9739426]
 [ 40.5753    -73.9836   ]
 [ 40.5765081 -73.9929419]
 [ 40.6158    -74.0313   ]
 [ 40.6256    -74.0296   ]
 [ 40.6462    -74.02     ]
 [ 40.649     -74.0152   ]
 [ 40.6369    -73.9937   ]
 [ 40.6188823 -73.9654889]]"
9,0,1,9,5641,0.17696699711381603,40.72837702668021,-73.98594952911253,40.0,0.0005885699999999889,"[[ 40.7134 -73.9927]
 [ 40.7324 -73.9969]
 [ 40.7357 -73.9955]
 [ 40.741  -73.9907]
 [ 40.745  -73.9804]
 [ 40.7435 -73.9733]
 [ 40.738  -73.9734]
 [ 40.723  -73.9742]
 [ 40.7138 -73.9792]]"
10,0,1,10,144,0.004517505333166018,40.76669313809524,-73.76444024285713,40.0,0.004075109119999382,"[[ 40.7278    -73.7939   ]
 [ 40.7629    -73.8009   ]
 [ 40.7934184 -73.778797 ]
 [ 40.797     -73.723    ]
 [ 40.799     -73.6878   ]
 [ 40.7417906 -73.7553618]]"
11,0,1,11,1034,0.0324381980173171,40.661099250001534,-73.95219139929489,40.0,0.0020575500000003617,"[[ 40.6304 -73.9634]
 [ 40.6303 -73.9652]
 [ 40.6326 -73.9718]
 [ 40.6406 -73.9768]
 [ 40.6549 -73.9777]
 [ 40.6826 -73.9568]
 [ 40.6832 -73.9538]
 [ 40.673  -73.9242]
 [ 40.6479 -73.9203]]"
12,0,1,12,48,0.0015058351110553395,40.69154744318182,-74.19506403409092,40.0,0.005277629999999536,"[[ 40.7524 -74.1782]
 [ 40.6621 -74.1764]
 [ 40.6776 -74.2936]]"
13,0,1,13,323,0.010133015434809888,40.6936420882353,-73.81482261176471,40.0,0.003198462790000093,"[[ 40.7153    -73.832    ]
 [ 40.7231    -73.7994   ]
 [ 40.7133455 -73.782511 ]
 [ 40.6815    -73.7732   ]
 [ 40.6671    -73.7982   ]
 [ 40.6607    -73.824    ]
 [ 40.6578815 -73.8362459]
 [ 40.6671    -73.8418   ]
 [ 40.67677   -73.8437461]]"
14,0,1,14,1051,0.032971514619149205,40.75020827317072,-73.88885397317073,40.0,0.0017068424359801913,"[[ 40.7152    -73.8983   ]
 [ 40.723158  -73.912637 ]
 [ 40.7426    -73.9149   ]
 [ 40.7732    -73.8855   ]
 [ 40.7757145 -73.873364 ]
 [ 40.7687    -73.8624   ]
 [ 40.7612123 -73.8651358]
 [ 40.7365804 -73.8783932]]"
15,0,1,15,2634,0.08263270171916175,40.63326296025367,-73.78808204361913,40.0,0.002437166778895131,"[[ 40.6462    -73.7764   ]
 [ 40.6053825 -73.7551326]
 [ 40.5871898 -73.8111059]
 [ 40.5805104 -73.8361535]
 [ 40.646     -73.7905   ]
 [ 40.647     -73.7898   ]
 [ 40.6486    -73.7841   ]
 [ 40.6485    -73.783    ]
 [ 40.6484    -73.7827   ]
 [ 40.6465    -73.7771   ]]"
16,0,1,16,509,0.01596812649014933,40.691646761904764,-73.9505888047619,40.0,0.0007457849999998442,"[[ 40.6767 -73.936 ]
 [ 40.6763 -73.9393]
 [ 40.6765 -73.9423]
 [ 40.6881 -73.9647]
 [ 40.6929 -73.9698]
 [ 40.6962 -73.9713]
 [ 40.7047 -73.9618]
 [ 40.7035 -73.949 ]
 [ 40.7003 -73.9363]
 [ 40.69   -73.9305]]"
